id,source,brand,title
2,당근마켓,구찌,구찌실비백
14,당근마켓,구찌,구찌 패드락 패들락 GG 미니 숄더 체인백
21,당근마켓,구찌,구찌실비백(미니)
277,중고나라,구찌,오피디아 구찌가방
19,당근마켓,구찌,(정품) 구찌 패들락 탑핸들 수프림캔버스
27,당근마켓,구찌,구찌 마몬트 미니 체인백 그레이
17,당근마켓,구찌,구찌 GG 마몽 숄더백 아이보리
20,당근마켓,구찌,"GUCCI 구찌오디피아 더플백 ,정품!!"
23,당근마켓,구찌,구찌 동그리백 & 카드지갑
26,당근마켓,구찌,구찌 GG 캔버스 비트 스터드 숄더백
28,당근마켓,루이비통,"명품 쇼핑백(보테가, 루이비통, 에르메스, 구찌, 셀린느, 불가리, 샤넬)"
30,당근마켓,구찌,구찌 GG 엠블럼 반지갑 (새상품)
32,당근마켓,구찌,구찌 GG 로고 숄더/크로스백
31,당근마켓,구찌,구찌 GG 수프림 보스턴백
34,당근마켓,구찌,구찌 GG 클러치백
36,당근마켓,구찌,구찌 주미 클러치 블랙
12,당근마켓,구찌,구찌 블랙 벨트 풀박스
35,당근마켓,구찌,구찌 쇼핑백 세트 (울 스카프)
37,당근마켓,구찌,구찌 토트백 Gucci Neoprene Tote Bag
266,중고나라,루이비통,(미사용)구찌 홀스빗 크로스백/숄더백 새상품급 정품(감정O)프라다루이비통디올고야드샤넬셀린느보테가생로랑발렌시아가가방
43,당근마켓,구찌,구찌 인터로킹 GG 스몰 체인백 블랙
45,당근마켓,구찌,구찌 오피디아 스몰 탑 핸들백 베이지 (거의 새거)
46,당근마켓,구찌,구찌 GG 슈프림 서류가방
7,당근마켓,구찌,구찌 오피디아 체인 숄더백 네이비
61,당근마켓,에르메스,(정품)거의 새상품 에르메스 가든파티 30
62,당근마켓,에르메스,에르메스 에르백 31 페가수스 리미티드
64,당근마켓,에르메스,에르메스 Heure H 미니 모델 21mm 더블 투어 워치 스트랩
63,당근마켓,에르메스,에르메스 에르백 31 (새제품)
65,당근마켓,에르메스,에르메스 Heure H 미니 모델 21mm 더블 투어 워치 스트랩
276,중고나라,샤넬,구찌 테슬 크로스백/카메라백/숄더백 정품A급(영수증O)구찌프라다루이비통디올고야드샤넬셀린느보테가생로랑발렌시아가가방
67,당근마켓,에르메스,[새상품] 에르메스 제트 스니커즈 블랙 판매 (39.5/255)
56,당근마켓,구찌,구찌 정품 호보백
275,중고나라,루이비통,바오바오백 토트백/숄더백 라지 플래티넘 정품S급(한글텍)구찌프라다루이비통디올고야드샤넬셀린느보테가생로랑버버리가방크로스
70,당근마켓,에르메스,에르메스 제트 스니커즈 브라운 36 & 37 새상품 판매합니다
342,중고나라,루이비통,구찌가방GG마몽숄더백(디올펜디샤넬프라다셀린느고야드루이비통발렌시아가
69,당근마켓,에르메스,에르메스 파리로퍼 고트스킨 & 팔라듐 하드웨어 누아 34사이즈 미착용 새상품
68,당근마켓,에르메스,에르메스 에블린29 블랙 은장 크로스백
71,당근마켓,에르메스,에르메스 파리로퍼 크림베이지 38사이즈 새상품 판매합니다
73,당근마켓,에르메스,에르메스 H 스니커즈 블랙 36.5 사이즈 새상품 판매합니다
72,당근마켓,에르메스,에르메스 Flex 슬립온 스니커즈 42.5 새상품 판매합니다
74,당근마켓,에르메스,에르메스 파리 로퍼 스웨이드 베이지 36.5 새상품 판매합니다
76,당근마켓,에르메스,에르메스 여성 로퍼 38사이즈
79,당근마켓,에르메스,"에르메스 ""Stripe and strike"" 터틀넥 스웨터 XL size 새상품 판매합니다"
78,당근마켓,에르메스,에르메스 켈리 25 로즈아잘레 앱송
75,당근마켓,에르메스,에르메스 팔찌 65 새상품
77,당근마켓,에르메스,에르메스 수지 반팔 블랙 자켓 36
80,당근마켓,에르메스,에르메스 튜브 버디(새제품)
13,당근마켓,구찌,구찌 패드락 GG 수프림 스몰 숄더백
82,당근마켓,에르메스,에르메스 트윌리 스카프 3종 새상품 판매합니다
83,당근마켓,에르메스,더리움 제인백 25 나일론 블랙
84,당근마켓,에르메스,[새상품] 에르메스 샤워젤 (정가 11만)
