제목,가격,지역,시간,이미지링크,링크
샤넬 그랜드 쇼퍼백 블랙 은장,"4,000,000원",샤넬 그랜드 쇼퍼백 블랙 은장,3시간 전,https://img.kr.gcp-karroter.net/origin/article/202608/921556f1fd97073ca735a1dd2940505b29bce0696f6727ac15a7e8b2208c6b41_0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B7%B8%EB%9E%9C%EB%93%9C-%EC%87%BC%ED%8D%BC%EB%B0%B1-%EB%B8%94%EB%9E%99-%EC%9D%80%EC%9E%A5-jhu3p2f4ets5/
샤넬 클래식 플랩백 골드 베이지,"1,600,000원",샤넬 클래식 플랩백 골드 베이지,3일 전,https://img.kr.gcp-karroter.net/origin/article/202608/1786068491269f7af94bd75a8158bc5fa772f317662aadaf0f095b0b4c745582c5e4613136ed50.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%81%B4%EB%9E%98%EC%8B%9D-%ED%94%8C%EB%9E%A9%EB%B0%B1-%EA%B3%A8%EB%93%9C-%EB%B2%A0%EC%9D%B4%EC%A7%80-xeep4vicd7zc/
샤넬 가브리엘 호보백 스몰,"4,700,000원",샤넬 가브리엘 호보백 스몰,끌올 3일 전,https://img.kr.gcp-karroter.net/origin/article/202607/1783407515582f39f90253bea1f93257580821276e1a1f6be25dae0d34372e1e5e3adde49d3050.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98-%ED%98%B8%EB%B3%B4%EB%B0%B1-%EC%8A%A4%EB%AA%B0-mukfbsck9g22/
샤넬 램스킨 금장cc턴락 비콜로어 퀼팅 숄더백 화이트,"1,850,000원",샤넬 램스킨 금장cc턴락 비콜로어 퀼팅 숄더백 화이트,끌올 2일 전,https://img.kr.gcp-karroter.net/origin/article/202606/6f68a8a040cb597201378d2bd97a6fc9f9b43a6ffab5384fb06f9908cd259eb5_0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EB%9E%A8%EC%8A%A4%ED%82%A8-%EA%B8%88%EC%9E%A5cc%ED%84%B4%EB%9D%BD-%EB%B9%84%EC%BD%9C%EB%A1%9C%EC%96%B4-%ED%80%BC%ED%8C%85-%EC%88%84%EB%8D%94%EB%B0%B1-%ED%99%94%EC%9D%B4%ED%8A%B8-9546dvshok62/
샤넬 실버 체인 볼링백,"1,700,000원",샤넬 실버 체인 볼링백,3일 전,https://img.kr.gcp-karroter.net/origin/article/202608/1786068491251d725c2e43b5e27c4ad29b5323af4188d9ee39080405fbceee6effbdfb58a63bd0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%8B%A4%EB%B2%84-%EC%B2%B4%EC%9D%B8-%EB%B3%BC%EB%A7%81%EB%B0%B1-fryrnq7hx536/
샤넬 숄더백 펀칭. 정품,"1,900,000원",샤넬 숄더백 펀칭. 정품,끌올 3시간 전,https://img.kr.gcp-karroter.net/origin/article/202608/178606849124240f4da47abf923f6f586e34315e81ed5a4a5676402d9252a7af96577034dec500.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%88%84%EB%8D%94%EB%B0%B1-%ED%8E%80%EC%B9%AD-%EC%A0%95%ED%92%88-uv6oxhpbyamy/
샤넬 코스메틱 체인가방,"2,100,000원",샤넬 코스메틱 체인가방,19시간 전,https://img.kr.gcp-karroter.net/origin/article/202608/1fbb4b97d7a9fc3d816230a15c1a1bb9a60dd2e3b3335c8b2b8eac51608f4f47_0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EC%BD%94%EC%8A%A4%EB%A9%94%ED%8B%B1-%EC%B2%B4%EC%9D%B8%EA%B0%80%EB%B0%A9-r7hag6etgxb5/
샤넬 페이턴트 체인 미니백,"2,200,000원",샤넬 페이턴트 체인 미니백,끌올 12일 전,https://img.kr.gcp-karroter.net/origin/article/202605/177873930498878fab7149619bedb277333b7bb51157f75b77fa996cf53512e3f0c2208a664980.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%ED%8E%98%EC%9D%B4%ED%84%B4%ED%8A%B8-%EC%B2%B4%EC%9D%B8-%EB%AF%B8%EB%8B%88%EB%B0%B1-md4i8mm1y6ka/
샤넬 CC 코스메틱 체인백 AS3228,"3,500,000원",샤넬 CC 코스메틱 체인백 AS3228,끌올 1개월 전,https://img.kr.gcp-karroter.net/origin/article/202506/175085312899934d1075f06bab01a98d1b29d21483fe1b242928e2420962b75f76717ec7eb34c0.jpg?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-cc-%EC%BD%94%EC%8A%A4%EB%A9%94%ED%8B%B1-%EC%B2%B4%EC%9D%B8%EB%B0%B1-as3228-nya4kxf89rvk/
샤넬 가브리엘 백팩 스몰 블랙,"5,000,000원",샤넬 가브리엘 백팩 스몰 블랙,끌올 4일 전,https://img.kr.gcp-karroter.net/origin/article/202607/1783649666144a13d948823623818d5d73e225b0579ebb8498f58dd86294cd2cb37d55b2527370.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B0%80%EB%B8%8C%EB%A6%AC%EC%97%98-%EB%B0%B1%ED%8C%A9-%EC%8A%A4%EB%AA%B0-%EB%B8%94%EB%9E%99-8pi2f1w5ffx1/
샤넬 깜봉 숄더백 미디엄,"2,800,000원",샤넬 깜봉 숄더백 미디엄,끌올 3개월 전,https://img.kr.gcp-karroter.net/origin/article/202605/1778934792421eb4cd3eae07e17b89db7f570bfc1a1a405ae23b4c069dacce10f488dc923566d0.webp?q=82&s=300x300&t=crop&service=webapp&f=webp,https://www.daangn.com/kr/buy-sell/%EC%83%A4%EB%84%AC-%EA%B9%9C%EB%B4%89-%EC%88%84%EB%8D%94%EB%B0%B1-%EB%AF%B8%EB%94%94%EC%97%84-4vghqse6o8yb/
