title,price,url,region,is_authenticated
샤넬 클래식 플랩백 미디움 풀박스,"11,900,000원",https://demo.reverdi.local/csv/001,서울 강남구,정품인증
루이비통 네버풀 토트 가방 상태좋음,"2,450,000원",https://demo.reverdi.local/csv/002,서울 서초구,
에르메스 가든파티 토트 가방 A급,"6,800,000원",https://demo.reverdi.local/csv/003,서울 송파구,정품인증
구찌 마몬트 숄더백 미사용급,"2,150,000원",https://demo.reverdi.local/csv/004,서울 마포구,
프라다 리나일론 숄더 가방 풀구성,"1,780,000원",https://demo.reverdi.local/csv/005,부산 해운대구,정품인증
디올 레이디디올 가방 상태좋음,"7,200,000원",https://demo.reverdi.local/csv/006,대구 수성구,
생로랑 루루 숄더백 A급,"2,390,000원",https://demo.reverdi.local/csv/007,인천 연수구,정품인증
샤넬 보이백 숄더 가방 풀박스,"7,950,000원",https://demo.reverdi.local/csv/008,경기 성남시,
루이비통 알마 가방 미사용급,"2,280,000원",https://demo.reverdi.local/csv/009,경기 수원시,정품인증
에르메스 에블린 숄더백 상태좋음,"5,900,000원",https://demo.reverdi.local/csv/010,서울 용산구,
구찌 디오니소스 숄더 가방 A급,"2,650,000원",https://demo.reverdi.local/csv/011,광주 서구,정품인증
프라다 사피아노 토트 가방 풀구성,"2,100,000원",https://demo.reverdi.local/csv/012,대전 유성구,
디올 새들백 숄더 가방 상태좋음,"5,850,000원",https://demo.reverdi.local/csv/013,서울 성동구,정품인증
생로랑 카산드라 숄더백 미사용급,"3,150,000원",https://demo.reverdi.local/csv/014,부산 수영구,
롤렉스 서브마리너 시계 풀박스,"16,900,000원",https://demo.reverdi.local/csv/015,서울 강남구,정품인증
오메가 씨마스터 시계 상태좋음,"5,200,000원",https://demo.reverdi.local/csv/016,경기 고양시,
까르띠에 탱크 시계 A급,"4,850,000원",https://demo.reverdi.local/csv/017,서울 종로구,정품인증
까르띠에 러브 팔찌 풀구성,"6,300,000원",https://demo.reverdi.local/csv/018,서울 중구,
티파니 T와이어 팔찌 미사용급,"2,950,000원",https://demo.reverdi.local/csv/019,부산 부산진구,정품인증
까르띠에 트리니티 반지 상태좋음,"1,850,000원",https://demo.reverdi.local/csv/020,대구 중구,
티파니 하드웨어 목걸이 A급,"3,400,000원",https://demo.reverdi.local/csv/021,경기 용인시,정품인증
구찌 라이톤 스니커즈 상태좋음,"780,000원",https://demo.reverdi.local/csv/022,서울 광진구,
프라다 모놀리스 로퍼 미사용급,"1,150,000원",https://demo.reverdi.local/csv/023,인천 남동구,정품인증
생로랑 클래식 구두 A급,"890,000원",https://demo.reverdi.local/csv/024,울산 남구,
샤넬 트위드 자켓 상태좋음,"4,200,000원",https://demo.reverdi.local/csv/025,서울 강동구,정품인증
