title,price,url,region,is_authenticated
샤넬 클래식 플랩백 미디움 캐비어 은장 풀박스,"11,900,000원",https://demo.reverdi.local/csv/001,서울 강남구,정품인증
샤넬 보이백 스몰 램스킨 A급,"6,800,000원",https://demo.reverdi.local/csv/002,서울 강남구,정품인증
샤넬 코코핸들 미니 캐비어 상태 좋음,"7,200,000원",https://demo.reverdi.local/csv/003,서울 서초구,
루이비통 네버풀 MM 다미에 에벤 미사용급,"2,450,000원",https://demo.reverdi.local/csv/004,서울 송파구,정품인증
루이비통 온더고 MM 모노그램 리버스,"3,600,000원",https://demo.reverdi.local/csv/005,경기 성남시,
루이비통 알마 BB 에피 블랙,"1,950,000원",https://demo.reverdi.local/csv/006,서울 강남구,정품인증
구찌 마몬트 스몰 숄더백 블랙 금장,"1,650,000원",https://demo.reverdi.local/csv/007,부산 해운대구,
구찌 디오니소스 미니 스웨이드,"2,100,000원",https://demo.reverdi.local/csv/008,대구 중구,정품인증
에르메스 가든파티 36 네고시앙 에토프,"5,900,000원",https://demo.reverdi.local/csv/009,서울 청담동,정품인증
에르메스 에블린 PM 클레망스 골드,"4,700,000원",https://demo.reverdi.local/csv/010,서울 청담동,정품인증
프라다 리나일론 숄더백 리에디션 2005,"1,250,000원",https://demo.reverdi.local/csv/011,인천 연수구,
디올 레이디디올 미디움 카나쥬 램스킨,"5,900,000원",https://demo.reverdi.local/csv/012,서울 강남구,정품인증
셀린느 트리옹프 미디움 쉬니 카프스킨,"3,900,000원",https://demo.reverdi.local/csv/013,서울 한남동,
보테가 카세트 스몰 인트레치아토,"3,100,000원",https://demo.reverdi.local/csv/014,경기 분당구,
롤렉스 서브마리너 124060 논데이트 남성시계 풀셋,"16,500,000원",https://demo.reverdi.local/csv/015,서울 압구정동,정품인증
롤렉스 데이트저스트 41 주빌리 블루다이얼 시계,"13,800,000원",https://demo.reverdi.local/csv/016,서울 압구정동,정품인증
오메가 씨마스터 300 코액시얼 시계 보증서 포함,"4,400,000원",https://demo.reverdi.local/csv/017,대전 서구,
까르띠에 탱크 머스트 LM 쿼츠 풀박스,"4,600,000원",https://demo.reverdi.local/csv/018,서울 강남구,정품인증
까르띠에 러브링 18K 옐로골드 반지 17호,"2,300,000원",https://demo.reverdi.local/csv/019,서울 강남구,정품인증
티파니 T와이어 브레이슬릿 로즈골드,"1,300,000원",https://demo.reverdi.local/csv/020,서울 명동,
불가리 비제로원 반지 3밴드,"1,800,000원",https://demo.reverdi.local/csv/021,부산 서면,
버버리 트렌치코트 켄싱턴 미드 허니 52,"1,150,000원",https://demo.reverdi.local/csv/022,서울 이태원,
구찌 GG 자카드 재킷 블랙 50,"1,700,000원",https://demo.reverdi.local/csv/023,서울 압구정동,
생로랑 SL06 스니커즈 화이트 270,"520,000원",https://demo.reverdi.local/csv/024,경기 판교,
발렌시아가 트리플S 스니커즈 트리플블랙 275,"690,000원",https://demo.reverdi.local/csv/025,서울 홍대,
