source,brand,title,price_value
중고나라,루이비통,루이비통 체인 온 월릿 블룸 가방 팝니다(백화점 정품),2300000
중고나라,루이비통,정품- 루이비통 가방 스트랩- 보증서 유,220000
당근마켓,루이비통,"루이비통 쇼핑백7, 에르메스 쇼핑백 1개(일괄 판매)",35000
당근마켓,샤넬,샤넬 김고은 자켓 38,5290000
중고나라,루이비통,[한정판] 루이비통 타이가 아웃도어 크로스백 메신저백 가방,1890000
당근마켓,구찌,구찌 패드락 패들락 GG 미니 숄더 체인백,800000
중고나라,루이비통,프라다 비텔로woc 레더백크로스백가방명품백테수토호보백숄더백버킷백 구찌루이비통디올셀린느샤넬에르메스보테가,380000
당근마켓,샤넬,샤넬 슬링백 (정품) 37.5,590000
중고나라,샤넬,새상품 샤넬 가방,190000
중고나라,구찌,GUCCI 구찌 수프림 GG로고 크로스백 메신져백 가방 남여공용,450000
중고나라,에르메스,에르메스 에르백31/ 에르백 금장/ 에르메스 가방,4090000
중고나라,루이비통,"프라다 가방,숄더백크로스백(디올샤넬보테가루이비통구찌셀린느생로랑발렌시아가)",560000
중고나라,루이비통,디올 레이디백 < 디올 북토트 < 루이비통 가방,260000
중고나라,루이비통,샤넬 보이백 클래식 미듐 캐비어 은장 크로스/숄더백 정품S급(감정서O)구찌프라다루이비통디올고야드보테가에르메스가방,5600000
중고나라,구찌,(정품) 구찌 오피디아 크로스백 (명품 여자 가방 숄더백),800000
중고나라,구찌,오피디아 구찌가방 300프로정품,1190000
당근마켓,에르메스,에르메스 클릭아슈 브레이슬릿 옐로우 골드 하드웨어 & 블랑 (PM) 새상품,790000
중고나라,샤넬,르메르 크루아상 코인 펄스 크로스바디 지갑가방. 보테가프라다구찌디올샤넬막스마라산드로마쥬버버리마랑타임마인한섬,350000
중고나라,루이비통,"프라다 가방,토트백,숄더백(디올샤넬보테가루이비통구찌셀린느생로랑발렌시아가)",490000
당근마켓,에르메스,에르메스 스트라이프 남녀공용 슬립온 40(255-260),150000
중고나라,루이비통,(마지막 가격)생로랑 모노그램 클러치 미듐 파우치크로스백프라다루이비통디올셀린느생로랑샤넬버버리에르메스테수토호보백팩가방,270000
중고나라,에르메스,정품 레이디 디올 woc 가방 샤넬 루이비통 에르메스,1250000
중고나라,샤넬,샤넬 VIP증정 보스턴백 여행가방 골프가방 운동가방,80000
당근마켓,루이비통,루이비통,3900000
중고나라,루이비통,루이비통 이클립스 보야제pm 메신저백 크로스백 루이비통 남성가방,1150000
당근마켓,에르메스,에르메스 바운싱 스니커즈 화이트 37사이즈,360000
당근마켓,루이비통,루이비통 쇼핑백,5000
당근마켓,샤넬,화장품 파우치,5000
중고나라,샤넬,샤넬클러치가방,80000
중고나라,루이비통,루이비통 그리니치 여행가방,1190000
중고나라,루이비통,구찌 마몽 마틀라세 스몰 크로스백/숄더백 정품S급(감정O)프라다루이비통디올고야드샤넬셀린느보테가생로랑발렌시아가가방,1300000
당근마켓,루이비통,루이비통 M68566에센셜 트렁크 모노그램 미니 NM 블랙 체인 크로스백,2950000
당근마켓,구찌,구찌 GG 마몬트 탑핸들백 418702 블랙,1100000
당근마켓,구찌,구찌 마몬트 미니 체인백 그레이,410000
중고나라,루이비통,루이비통 종이가방 쇼핑백 360*250*110,10000
중고나라,루이비통,발렌시아가 시티 모터백 스몰 크로스백 정품S급(감정O)구찌프라다루이비통디올고야드샤넬셀린느보테가생로랑버버리가방,1550000
중고나라,샤넬,샤넬 CC 트렌디 미니가방 미니백,80000
당근마켓,에르메스,에르메스 미니 팝아슈 목걸이 화이트/골드,580000
중고나라,루이비통,루이비통 네오노에 가방,70000
중고나라,루이비통,구찌 뱀부 클러치 파우치크로스백프라다루이비통디올셀린느생로랑샤넬버버리에르메스테수토호보백팩명품가방뉴욕패딩,160000
중고나라,루이비통,고야드 세나 클러치/클러치백 MGM 정품S급(감정O)구찌프라다루이비통디올샤넬셀린느고야드보테가생로랑발렌시아가버버리가방,1250000
당근마켓,샤넬,상품권거래O) 샤넬 24C 크루즈 자켓 36,6990000
중고나라,루이비통,정품루이비통가방 갈리에라 pm,450000
중고나라,루이비통,루이비통 다미에 그라파이트 브리프케이스(서류가방),900000
당근마켓,루이비통,정품 루이비통 스피디 30 모노그램 가방,290000
중고나라,루이비통,루이비통 팔라스 가방,1200000
중고나라,샤넬,새상품 샤넬 공방 가방,290000
중고나라,샤넬,샤넬 이오백 25백 스트랩 가방끈 체인패드 어깨패드 화이트 새상품 캐비어,10000
중고나라,루이비통,(미사용)구찌 탑핸들 미니백/크로스백 새상품급 정품(영수증O)프라다루이비통디올고야드샤넬셀린느보테가생로랑발렌시아가가방,1350000
중고나라,샤넬,샤넬가방,128000
당근마켓,에르메스,"디올, 구찌, 에르메스, 샤넬, 까르띠에 쇼핑백",10000
중고나라,구찌,구찌 정품 가방,1200000
당근마켓,구찌,구찌 동그리백 & 카드지갑,1250000
당근마켓,샤넬,샤넬 카드지갑 그린컬러 ✨,560000
당근마켓,구찌,구찌 오피디아 스몰 탑 핸들백 베이지 (거의 새거),1400000
중고나라,루이비통,안심결제,350000
당근마켓,샤넬,샤넬 2.55 빈티지 라지 매우상태좋음,6880000
중고나라,에르메스,에르메스 토고 삭아데페슈 38 서류가방 브리프케이스,3750000
당근마켓,루이비통,루이비통 네오노에,1800000
당근마켓,에르메스,에르메스 파리 로퍼 스웨이드 베이지 36.5 새상품 판매합니다,1300000
중고나라,루이비통,(정품) 루이비통 모노그램 로즈 데일리 파우치 클러치백 가방,322000
중고나라,루이비통,"루이비통 쁘띠드 말 수플 앙프렝뜨 가방 M45393 토트, 숄더백",2600000
중고나라,에르메스,정품 에르메스 블랙 네이비 캔버스 토트백 가방 hermes,245000
중고나라,루이비통,가격제시받음)명품 프라다 루이비통 가방 급처,
중고나라,루이비통,[새상품] 루이비통 돕키트 / 루이비통 파우치 / 루이비통 가방,2200000
중고나라,샤넬,샤넬 보이 WOC 은장 캐비어 (가방+영수증+인보이스+쇼핑백+박스),3300000
중고나라,루이비통,루이비통 가방,390000
중고나라,루이비통,루이비통 가방,218000
중고나라,샤넬,구찌 테슬 크로스백/카메라백/숄더백 정품A급(영수증O)구찌프라다루이비통디올고야드샤넬셀린느보테가생로랑발렌시아가가방,520000
중고나라,루이비통,펜디 피카부 미니 몬스터 한정판 크로스백/숄더백 정품S급(감정서O)구찌프라다루이비통디올고야드샤넬셀린느보테가생로랑가방,1950000
중고나라,루이비통,루이비통 르 마제스틱 핸드백 가죽 정품(가방 안쪽 시리얼 넘버 있어요),500000
중고나라,루이비통,(미사용)구찌 홀스빗 크로스백/숄더백 새상품급 정품(감정O)프라다루이비통디올고야드샤넬셀린느보테가생로랑발렌시아가가방,1950000
중고나라,루이비통,[한정판/정품] 루이비통 1854 도핀 크로스백 가방 체인 지갑,2190000
중고나라,구찌,구찌 쟈가드 호보백 구찌가방 구찌핸드백,800000
중고나라,루이비통,루이비통 포쉐트 메티스 가방,2000000
중고나라,루이비통,구찌 스네이크 클러치백 새상품급 정품(영수증O)구찌프라다루이비통디올고야드샤넬셀린느보테가생로랑발렌시아가버버리가방,570000
중고나라,루이비통,정품 루이비통 모노그램 키폴 50 보스톤백 골프 여행가방,1100000
중고나라,루이비통,보테가베네타 버킷백/크로스백 스몰 새상품급 정품(감정O)구찌프라다루이비통디올고야드샤넬셀린느생로랑버버리발렌시아가가방,1030000
당근마켓,루이비통,루이비통 강아지슬링백,10000
당근마켓,구찌,구찌 홀스빗 1955 미니백,650000
